IMMUNOSUPPRESSIVE_CYTOKINE_PATHWAYS	NK_INHIBITING_RECEPTORS	IMMUNOSUPPPRESSIVE_CORE_PATHWAYS	TUMOR_GROWTH	RECRUITMENT_OF_IMMUNE_CELLS	IMMUNOSUPPRESSIVE_CYTOKINE_EXPRESSION	NO_ROS_PRODUCTION	NK_ACTIVATING_RECEPTORS	FC_RECEPTORS	IMMUNOSUPPRESSIVE_CHEKPOINTS	EXOCYTOSIS_AND_PHAGOCYTOSIS	IMMUNOSTIMULATORY_CHEKPOINTS	ANTIGEN_PRESENTATION	IMMUNOSTIMULATORY_CYTOKINE_PATHWAYS	INTEGRINS	MIRNA_TF_IMMUNOSTIMULATORY	DANGER_SIGNAL_PATHWAYS	MIRNA_TF_IMMUNOSUPPRESSIVE	IMMUNOSTIMULATORY_CYTOKINE_EXPRESSION	IMMUNOSTIMULATORY_CORE_PATHWAYS
VEGFA		CTNNA2		CXCR4								HLA-E	IL18						MAPK10
IL6ST		CTNNA3										HLA-F	IL18R1						LAT
CSF3												HLA-G	IL18RAP						LIMK1
SMAD2												HLA-K	1L2						MAP2K3
												HLA-L	IL21						MAP2K4
												HLA-DOA	IL2RA						MAP3K1
												HLA-DOB	IL2RB						MAP3K14
												HLA-DPA1	IL2RG						MAP3K7
												HLA-DPB1	IL4						MAP3K8
												HLA-DQA1	IRAK2						MAP2K1
												HLA-DQA2	IRAK4						MAP2K2
												HLA-DQB1	JAK1						MKNK1
												HLA-DQB2	JAK2						MST1
												HLA-DRA	LTF						MTOR
												HLA-DRB1	LY96						NFKB1
												HLA-DRB3	MYD88						NFKBID
												HLA-DRB4	PTPN11						PAK1
												HLA-DRB5	PTPN2						PDK1
												MYO1E	RBCK1						PIK3R1
												NCF1	RIPK1						PIK3R2
												NCF2	RNF31						PIP5K1A
												NCF4	SHARPIN						PLA2G2A
												OSBPL1A	SOCS1						PLA2G4A
												PDIA3	SOCS2						PLCG1
												PIP5K1A	SOCS3						PLCG2
												PSD4	STAT1						PLD1
												RAB7A	STAT3						PLD2
												RAB7B	STAT4						AKT1S1
												RAC1	STAT5A						PRKCQ
												RAC2	STAT5B						RAC1
												RHOB	STAT6						RAC2
												RILP	TIKAM1						RAF1
												TAP1	TIRAP						RAP1A
												TAP2	TLR2						RAPGEF1
												TAPBP	TLR4						RASSF5
												PSMA1	TNF						RELA
												PSMA2	TNFRSF1A						RELB
												PSMA3	TNFRSF1B						HREB
												PSMA4	TRADD						RHOA
												PSMA5	TRAF1						RIPK1
												PSMA6	TRAF2						ROCK1
